Year,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)",Births attended by skilled health staff (% of total),"Contraceptive prevalence, any method (% of married women ages 15-49)",Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Exports of goods and services (% of GDP),"Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)",Forest area (sq. km),GDP (current US$),GDP growth (annual %),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)",Gross capital formation (% of GDP),High-technology exports (% of manufactured exports),"Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),Income share held by lowest 20%,"Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net barter terms of trade index (2015 = 100),Net migration,"Personal remittances, received (current US$)",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Prevalence of HIV, total (% of population ages 15-49)","Primary completion rate, total (% of relevant age group)","Revenue, excluding grants (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, secondary (% gross)",Surface area (sq. km),Tax revenue (% of GDP),Terrestrial and marine protected areas (% of total territorial area),Urban population growth (annual %)
2015,7.666,2.72327046339292,28.3363309352518,99.9,62.0757,5474.64570439183,2551.16315891178,33.2986849561039,1.33,23777330434.0906,185511.8,1206164777553.12,4.06086669718569,28460.0,34920.0,1321830489551.83,1621902847288.89,19.3734408230247,6.88833506484239,96.0,30.2833562687193,5.8,19.9230622051822,0.55244184266985,82.8317073170732,49.2573660793898,1.2702320395662,109.9855567,3.3,100.0,-1979.0,2673407398.90467,92.9526859210545,-0.077588861590047,46444832.0,1.1,22.3,0.3,96.1013488769531,27.5393887658309,102.144233703613,1.00452995300293,124.85466003418,505924.0,14.0820816990338,14.1,0.219325482669056
2016,7.287,2.81522075003094,28.0764388489209,99.9,62.0757,5501.19737814651,2561.57771880624,33.5770329849408,1.33,44962670965.5697,185552.4,1243015667917.12,2.91515602808174,27560.0,37400.0,1281056644204.02,1738407267476.24,19.0611122143393,7.80248141094868,97.0,29.6116448657886,5.8,19.7937250159622,0.372182498532794,83.3292682926829,48.3422707782042,1.13713590926222,110.8625606,3.3,101.14694815,106474.0,2632183874.91622,93.0492629572988,0.0844301500680736,46484062.0,1.3,21.6,0.3,94.7013168334961,27.1288470631817,102.130096435547,1.0102299451828,123.269889831543,505935.0,13.6838393292056,15.1956326397025,0.382971718642725
2017,6.932,2.80344676690393,27.0629496402878,99.9,62.0757,5603.21674158884,2689.22672563157,34.9003952055684,1.31,33577736758.6065,185593.0,1321754088818.83,2.8960420808163,27120.0,39570.0,1263705022538.33,1843464021723.45,19.5656670290524,6.99949013494316,98.0,31.2670509322886,6.2,19.9047199031815,1.25794431599297,83.2829268292683,50.8046092446811,1.23002910987775,112.7141001,3.2,99.6416894803,201135.0,3004745214.02338,93.2709101549633,0.234587922968563,46593236.0,0.8,21.5,0.3,96.6760177612305,27.0360266114199,102.50511932373,1.01564002037048,120.555923461914,505935.23,13.6257034043746,14.9,0.534737452920241
2018,6.243,2.70128254621885,26.4469424460432,99.9,62.0757,5554.92470856614,2665.36385360165,34.874813986254,1.26,63958429156.7585,185635.9,1431642809327.06,2.39541120364247,29340.0,40780.0,1373159470832.14,1908195340915.93,20.7061758213476,6.76693548745416,98.0,32.1345964120382,6.2,19.7385743840512,1.18735474303686,83.4317073170732,51.5013937272925,1.25433377164601,115.7483421,3.2,97.6646819888,337467.0,3331709084.39561,93.6697920792501,0.437982993728698,46797754.0,1.0,20.7,0.3,95.6724014282227,27.752508504664,102.638717651367,1.01686000823975,119.430198669434,505957.289,14.1254961741386,14.9740098076054,0.738481167271324
2019,5.867,2.51980122994951,26.2720323741007,99.9,62.0757,5416.99125850377,2573.01236026464,34.6755629292261,1.23,30322872791.4496,185678.8,1403496387686.27,1.9611785315135,30370.0,43820.0,1431642244439.37,2065307027780.4,20.9088226144802,6.84640091103014,98.0,31.6906621148431,6.2,19.9779055762497,1.42867121354817,83.8317073170732,50.3576643446257,1.23270491757212,117.4481914,3.2,98.187052848,464783.0,3206846641.96425,94.3508089023978,0.717715637103499,47134837.0,0.9,21.0,0.3,96.6371078491211,27.8396917947532,103.185317993164,1.02180004119873,118.524719238281,505952.796,13.6580229877723,17.9,1.0210350775988
2020,5.23,2.78468031745976,26.0971223021583,99.9,62.0757,5088.5182523075,2303.21008674593,30.4810248544563,1.18,37683095972.4206,185721.7,1289783836971.21,-10.9400706591866,27180.0,39070.0,1287379834944.5,1850440806564.68,20.6266482703898,7.76842135531122,96.0,28.9651031602513,6.0,20.1193927811735,1.133914569064,82.2317073170732,49.1949877035219,1.36664551701951,117.4899328,3.2,101.5483330135,236854.0,3063400972.64945,94.815383748924,0.488502131838585,47365655.0,1.1,21.7,0.3,96.0053405761719,29.2233358778761,103.410423278809,1.02069997787476,117.367767333984,505969.891,13.4462555370373,17.9,0.792144591816453
2021,4.702,2.76824927112995,26.0971223021583,99.9,62.0757,5239.5199793554,2421.83064220479,33.7570843255301,1.18,64626902393.5776,185764.6,1461244901852.69,6.6831441850028,30110.0,44150.0,1427579979883.47,2093202712117.86,21.8740337716536,9.39320382214351,95.0,32.7675046176609,6.4,20.3165748530524,2.55611238398019,83.1780487804878,54.7251866532511,1.35211774619771,119.623109,3.1,98.3911159654,144385.0,3949650833.18905,94.8822087969797,0.105799194264084,47415794.0,0.7,20.4,0.2,99.1650314331055,30.1223659907048,102.899139404297,1.02069997787476,119.114921569824,505964.594,14.8775287865224,17.9,0.409754083471361
2022,4.776,2.30957558409148,26.0971223021583,99.9,62.0757,5182.69523645187,2407.99572750082,39.7551303881907,1.16,65488854829.248,185807.5,1446498147749.03,6.17931222572963,32000.0,49730.0,1528157907015.83,2375055084931.75,22.6550254835913,12.5837187911388,96.0,38.8724320759099,6.6,20.930906380107,4.71187418437,83.1341463414634,62.891266153065,1.4339965700543,124.0994495,3.1,98.3911159654,299779.0,4285808733.96917,95.5729827216798,0.72148100717686,47759127.0,0.8,20.2,0.2,98.4915237426758,29.7913046390255,102.445991516113,1.02069997787476,119.015510559082,505978.281,15.496178371307,17.9,1.02697615754963
2023,4.809,2.4997263609206,26.0971223021583,99.9,62.0757,5110.85174105768,2296.70804229267,38.0592582111746,1.12,42953066297.9842,185807.5,1620090734956.89,2.67566349258229,32830.0,52790.0,1587224535631.87,2552395301100.48,21.004602475833,9.56253561613111,96.0,34.1324706805738,6.6,20.1164100688503,6.23528003904008,83.8829268292683,55.1547503309299,1.50901228462186,124.0994495,3.1,98.3911159654,119099.0,5328217984.97871,95.5729827216798,1.22528044685694,48347910.0,0.8,20.2,0.2,98.4915237426758,29.6351122988085,102.445991516113,1.02069997787476,119.015510559082,505978.281,14.9927519014579,17.9,1.52984434218381
2024,4.809,2.4997263609206,26.0971223021583,99.9,62.0757,5110.85174105768,2296.70804229267,38.0592582111746,1.12,42953066297.9842,185807.5,1620090734956.89,2.67566349258229,32830.0,52790.0,1587224535631.87,2552395301100.48,21.004602475833,9.56253561613111,96.0,34.1324706805738,6.6,20.1164100688503,6.23528003904008,83.8829268292683,55.1547503309299,1.50901228462186,124.0994495,3.1,98.3911159654,111674.0,5328217984.97871,95.5729827216798,1.22528044685694,48347910.0,0.8,20.2,0.2,98.4915237426758,29.6351122988085,102.445991516113,1.02069997787476,119.015510559082,505978.281,14.9927519014579,17.9,1.52984434218381
